0.25	1	0
0.5	1	0.1
0.75	1	0.15
1.0	1	0.25
1.25	1	0.3
1.5	1	0.5
1.75	1	0.7
2.0	1	0.8
2.25	1	0.85
2.5	1	0.9
2.75	1	1.1
3.0	1	1.15
3.25	1	1.2
3.5	1	1.2
3.75	1	1.3
4.0	1	1.5
4.25	1	1.8
4.5	1	2.0
4.75	1	2.05
5.0	1	2.15
5.25	1	2.3
5.5	1	2.4
5.75	1	2.6
6.0	1	2.75
6.25	1	2.8
6.5	1	2.9
6.75	1	3.2
7.0	1	3.3
7.25	1	3.4
7.5	1	3.45
7.75	1	3.5
8.0	1	3.6
8.25	1	3.56
8.5	1	3.6
8.75	1	3.62
9.0	1	3.6
9.25	1	3.57
9.5	1	3.54
9.75	1	3.48
10.0	1	3.43
10.25	1	3.4
10.5	1	3.34
10.75	1	3.27
11.0	1	3.25
11.25	1	3.20
11.5	1	3.27
11.75	1	3.3
12.0	1	3.32
12.25	1	3.36
12.5	1	3.4
12.75	1	3.46
13.0	1	3.5
13.25	1	3.55
13.5	1	3.7
13.75	1	3.8
14.0	1	3.8
14.25	1	3.9
14.5	1	4.0
14.75	1	4.0
15.0	1	4.2
15.25	1	4.3
15.5	1	4.5
15.75	1	4.5
16.0	1	4.7
16.25	1	4.9
16.5	1	5.1
16.75	1	5.2
17.0	1	5.2
17.25	1	5.2
17.5	1	5.2
17.75	1	5.1
18.0	1	5.1
18.25	1	5.1
18.5	1	5.1
18.75	1	5.0
19.0	1	5.0
19.25	1	5.0
19.5	1	5.0
19.75	1	4.8
20.0	1	4.6
20.25	1	4.4
20.5	1	4.3
20.75	1	4.2
21.0	1	4.1
21.25	1	4.0
21.5	1	3.8
21.75	1	3.5
22.0	1	3.2
22.25	1	3.1
22.5	1	3.0
22.75	1	3.0
23.0	1	3.0
23.25	1	3.1
23.5	1	3.2
23.75	1	3.3
24.0	1	3.5
24.25	1	3.6
24.5	1	3.65
24.75	1	3.68
25.0	2	3.8
25.25	2	3.9
25.5	2	3.95
25.75	2	4.0
26.0	2	4.01
26.25	2	4.03
26.5	2	4.05
26.75	2	4.08
27.0	2	4.1
27.25	2	4.11
27.5	2	4.12
27.75	2	4.11
28.0	2	4.09
28.25	2	4.07
28.5	2	4.04
28.75	2	4
29.0	2	3.9
29.25	2	3.8
29.5	2	3.75
29.75	2	3.7
30.0	2	3.6
30.25	2	3.65
30.5	2	3.55
30.75	2	3.4
31.0	2	3.35
31.25	2	3.3
31.5	2	3.3
31.75	2	3.25
32.0	2	3.2
32.25	2	3.1
32.5	2	3.11
32.75	2	3.1
33.0	2	3.09
33.25	2	3.08
33.5	2	3.08
33.75	2	3.07
34.0	2	3.05
34.25	2	3
34.5	2	3.1
34.75	2	3.13
35.0	2	3.18
35.25	2	3.24
35.5	2	3.31
35.75	2	3.33
36.0	2	3.38
36.25	2	3.45
36.5	2	3.51
36.75	2	3.58
37.0	2	3.67
37.25	2	3.75
37.5	2	3.89
37.75	2	4.01
38.0	2	4.12
38.25	2	4.24
38.5	2	4.37
38.75	2	4.52
39.0	2	4.75
39.25	2	4.9
39.5	2	5.24
39.75	2	5.46
40.0	2	5.73
40.25	2	5.99
40.5	2	6.12
40.75	2	6.21
41.0	2	6.26
41.25	2	6.28
41.5	2	6.34
41.75	2	6.39
42.0	2	6.45
42.25	2	6.43
42.5	2	6.40
42.75	2	6.38
43.0	2	6.36
43.25	2	6.3
43.5	2	6.25
43.75	2	6.15
44.0	2	5.9
44.25	2	5.7
44.5	2	5.55
44.75	2	5.32
45.0	2	5.10
45.25	2	5.02
45.5	2	4.97
45.75	2	5.0
46.0	2	5.02
46.25	2	5.05
46.5	2	5.1
46.75	2	5.2
47.0	2	5.29
47.25	2	5.36
47.5	2	5.4
47.75	2	5.44
48.0	2	5.49
48.25	2	5.51
48.5	2	5.52
48.75	2	5.39
49.0	2	5.28
49.25	2	5.1
49.5	2	4.9
49.75	2	4.83
50.0	3	4.76
50.25	3	4.7
50.5	3	4.6
50.75	3	4.5
51.0	3	4.4
51.5	3	4.3
51.75	3	4.2
52.0	3	4.1
52.5	3	3.9
53.0	3	3.7
53.5	3	3.5
54.0	3	3.3
54.5	3	3.1
55.0	3	2.9
55.5	3	2.7
56.0	3	2.5
56.5	3	2.3
57.0	3	2.2
57.5	3	2.1
58.0	3	2.0
59.0	3	1.9
60.0	3	1.8
61.0	3	1.7
62.0	3	1.6
63.0	3	1.5
64.0	3	1.4
65.0	3	1.3
66.0	3	1.2
67.0	3	1.1
68.0	3	1.0
69.0	3	0.9
70.0	3	0.8
71.0	3	0.75
72.0	3	0.7
73.0	3	0.65
74.0	3	0.6
75.0	4	0.55
76.0	4	0.5
77.0	4	0.45
78.0	4	0.4
79.0	4	0.35
80.0	4	0.3
81.0	4	0.275
82.0	4	0.25
83.0	4	0.225
84.0	4	0.2
85.0	4	0.175
86.0	4	0.15
87.0	4	0.125
88.0	4	0.1
89.0	4	0.075
90.0	4	0.05
91.0	4	0.025
92.0	4	0.0
93.0	4	0.0
94.0	4	0.0
95.0	4	0.0
96.0	4	0.0
97.0	4	0.0
98.0	4	0.0
99.0	4	0.0
100.0	4	0.0
