3.5             350.375
2.45            221.931
1.715           155.196
1.2005           118.36
0.84035         96.9079
0.588245        83.8407
0.411771        75.5891
0.28824         70.2314
0.201768         66.679
0.141238        64.2869
0.0988663       62.6579
0.0692064       61.5397
0.0484445       60.7676
0.0339112       60.2323
0.0237378       59.8602
0.0166165        59.601
0.0116315       59.4201
0.00814207      59.2938
0.00569945      59.2055
0.00398961      59.1438
0.00279273      59.1006
0.00195491      59.0704
0.00136844      59.0493
0.000957906     59.0345
0.000670534     59.0241
0.000469374     59.0169
0.000328562     59.0118
0.000229993     59.0083
0.000160995     59.0058
0.000112697     59.0041
7.88877e-05     59.0028
5.52214e-05      59.002
3.8655e-05      59.0014
2.70585e-05      59.001
1.89409e-05     59.0007
1.32587e-05     59.0005
9.28106e-06     59.0003
6.49674e-06     59.0002
4.54772e-06     59.0002
3.1834e-06      59.0001
2.22838e-06     59.0001
1.55987e-06     59.0001
1.09191e-06          59
7.64335e-07          59
5.35035e-07          59
3.74524e-07          59
2.62167e-07          59
1.83517e-07          59
1.28462e-07          59
8.99233e-08          59
6.29463e-08          59
4.40624e-08          59
3.08437e-08          59
2.15906e-08          59
1.51134e-08          59
1.05794e-08          59
7.40557e-09          59
5.1839e-09           59
3.62873e-09          59
2.54011e-09          59
1.77808e-09          59
1.24465e-09          59
8.71257e-10          59
6.0988e-10           59
4.26916e-10          59
2.98841e-10          59
2.09189e-10     59.0001
1.46432e-10          59
1.02503e-10          59
7.17518e-11     59.0001
5.02263e-11     58.9997
3.51584e-11     59.0004
2.46109e-11     59.0004
1.72276e-11     58.9997
1.20593e-11     58.9996
8.44153e-12     59.0006
5.90907e-12          59
4.13635e-12     58.9996
2.89544e-12     58.9991
2.02681e-12     59.0012
1.41877e-12     59.0062
9.93137e-13     58.9962
6.95196e-13      58.984
4.86637e-13     59.0175
3.40646e-13     59.0092
2.38452e-13     59.0003
1.66917e-13     59.0003
1.16842e-13     58.9881
8.17891e-14     58.9012
5.72524e-14     58.9509
4.00767e-14     58.8622
2.80537e-14     59.0142
1.96376e-14      58.978
1.37463e-14     59.4432
9.62241e-15     59.8124
6.73569e-15      59.074
4.71498e-15     60.2796
3.30049e-15     55.9739
2.31034e-15     55.3588
1.61724e-15     65.9033
